Summary,Issue key,Issue id,Issue Type,Status,Project key,Project lead,Project lead id,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Created,Updated,Last Viewed,Resolved,Affects versions,Affects versions,Affects versions,Fix versions,Components,Components,Description,Custom field (Development),Custom field (Email enabled),Comment,,Status Category,Status Category Changed
SAMIGO: Error when print PDF Report  if the feedback contains global variables: Unknown character : '@' (or 64),SAK-50349,67877,Bug,Resolved,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,Jesus Maria Mendez Perez,557058:41fcbac4-a91a-45ed-b774-07f473189e6d,Jesus Maria Mendez Perez,557058:41fcbac4-a91a-45ed-b774-07f473189e6d,8/5/2024 8:30,8/6/2024 2:13,8/8/2024 1:36,8/6/2024 2:13,25.0 [Tentative],,,,Tests & Quizzes (Samigo),,SAMIGO: Error when print PDF Report  if the correct or incorrect feedback contains global variables: Unknown character : '@' (or 64),"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-08-06T02:13:49.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"05/Aug/24 8:45 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50349 SAMIGO Error when print PDF Report if the feedback contains global variables: Unknown character : '@' (or 64)"", you can see it at https://github.com/sakaiproject/sakai/pull/12774",,Done,8/6/2024 2:13
Microsoft Integration: Visual and logical improvements,SAK-50348,67876,Feature Request,Awaiting Review,SAK,Core Team,6164d8abc7bea400699b1b9e,Minor,,,,Marc Oller Caballé,712020:0ee558a9-2ca6-4efb-be8a-8227315aa157,8/5/2024 7:40,8/5/2024 7:44,8/8/2024 1:36,,25.0 [Tentative],,,,Microsoft Integration,,"This feature introduces several essential modifications to provide users with more insight into the status of Microsoft integration and to manage bindings with an improved UI/UX. Additionally, it includes changes to the logical structure by adding batch requests to enhance performance.

This development has been sponsored by _Universitat de Lleida_ (_UdL_)",{},,,,To Do,8/5/2024 7:40
Dashboard: Calendar should show todays events by default,SAK-50346,67874,Bug,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,,,Christina Schwiebert,70121:edd71bdf-212f-4544-92f7-2fc8fb688af3,8/1/2024 18:06,8/2/2024 2:42,8/8/2024 1:36,,22.6 [Tentative],23.3 [Tentative],25.0 [Tentative],,WC User Dashboard,,"Currently, there is no visual indication of due dates on the user dashboard calendar widget (SAK-46272). Making the calendar even less useful, the events for the current day do not appear unless the user clicks the date. Today’s events should appear in the calendar without the user needing to take any action. ",{},,,,To Do,8/1/2024 18:06
Export Roster for Groups does not list the Group name,SAK-50345,67873,Bug,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,Bernardo Garcia Vila,557058:b7f26689-4872-49f3-9655-910bea8a4c71,Shivangi Kumar,712020:0a24e887-c8a1-4a56-a24b-3ca43878c9ac,8/1/2024 16:09,8/2/2024 2:21,8/8/2024 1:36,,23,23.1,25.0 [Tentative],,Roster,,"When exporting the Roster for groups, the Groups column in the exported sheet is blank and there is no Groups tab in the exported sheet as expected. Group name of each participant should be mentioned in the exported sheet when exporting the Roster.",{},,,,To Do,8/1/2024 16:09
SakaiImageEditor webcomponent creates too-large files,SAK-50344,67872,Bug,Resolved,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,Sam Ottenhoff,557058:48227012-f9a6-40a4-97e6-94c8ef57f33e,Sam Ottenhoff,557058:48227012-f9a6-40a4-97e6-94c8ef57f33e,8/1/2024 14:32,8/6/2024 3:29,8/8/2024 1:36,8/6/2024 3:29,,,,,Web Components,,"toBlob creates an image by default as PNG with 1.0 quality (perfect, lossless).

If uploading a lossy JPEG that is 20MB, putting it through our SakaiImageEditor will result in a LARGER file!

I believe we should be saving using a different format like JPEG or WEBP that is 70-75% quality and scaled down (e.g., max size of 1048 pixels wide)","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-08-06T03:29:40.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"01/Aug/24 4:22 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50344 SakaiImageEditor save image as webp with maxWidth"", you can see it at https://github.com/sakaiproject/sakai/pull/12772",,Done,8/6/2024 3:29
Forums: Changes between gradebook items cause fails when displaying scores,SAK-50343,67871,Bug,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,,,Juan David Massanet Puentes,6368ccf34bca78179baa2f3d,8/1/2024 3:52,8/5/2024 11:59,8/8/2024 1:36,,22.5,23.3 [Tentative],25.0 [Tentative],,Forums Tool,Gradebook,"The issue occurs when you select a gradebook item from: Discussions > Statistics & Grading > ‘Topic' in the forums tool to grade an user and then switch to another gradebook item the scores don’t change

!imagen-20240801-072055.png|width=740,height=438,alt=""imagen-20240801-072055.png""!

!imagen-20240801-072018.png|width=1369,height=398,alt=""imagen-20240801-072018.png""!

!imagen-20240801-071911.png|width=1374,height=426,alt=""imagen-20240801-071911.png""!",{},,,,To Do,8/1/2024 3:52
Missing condition picker when editing a text on a subpage,SAK-50341,67869,Bug,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,Core Team,6164d8abc7bea400699b1b9e,Jesus Maria Mendez Perez,557058:41fcbac4-a91a-45ed-b774-07f473189e6d,7/31/2024 8:27,8/2/2024 7:16,8/8/2024 1:36,,25.0 [Tentative],,,,Lessons,,"Missing condition picker when editing a text on a subpage

This [https://github.com/sakaiproject/sakai/blob/master/lessonbuilder/tool/src/java/org/sakaiproject/lessonbuildertool/util/LessonConditionUtil.java#L37|https://github.com/sakaiproject/sakai/blob/master/lessonbuilder/tool/src/java/org/sakaiproject/lessonbuildertool/util/LessonConditionUtil.java#L37|smart-link]  only works if the text is on the main page (root page).
If the text is on a subpage it fails. We can’t always call with null","{pullrequest={dataType=pullrequest, state=DECLINED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-08-02T06:51:17.000-0400"",""stateCount"":1,""state"":""DECLINED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,31/Jul/24 9:06 AM;6164f9d17a6be400715aa580;This might have a similar cause as [https://sakaiproject.atlassian.net/browse/SAK-49710|https://sakaiproject.atlassian.net/browse/SAK-49710|smart-link] ,,To Do,7/31/2024 8:27
Missing condition picker when editing a text on a subpage,S2U-53,67868,Bug,Resolved,S2U,Miguel Pellicer,5eb012f0b882f90bae453e0f,Major,Won't Do,,,Jesus Maria Mendez Perez,557058:41fcbac4-a91a-45ed-b774-07f473189e6d,7/31/2024 8:25,7/31/2024 8:26,8/8/2024 1:36,7/31/2024 8:26,,,,,Lessons,,Missing condition picker when editing a text on a subpage,{},,,,Done,7/31/2024 8:26
"Web services: integrateGradebook is probably outdated, make it call Assignments code directly",SAK-50340,67867,Improvement,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,,,Bernardo Garcia Vila,557058:b7f26689-4872-49f3-9655-910bea8a4c71,7/31/2024 5:21,8/1/2024 18:38,8/8/2024 1:36,,25.0 [Tentative],,,,Assignments,Web Services,"In the Assignments.java web service there’s this integrateGradebook function with this comment:

{noformat}//  This is a copy of the code in AssignmentAction.java{noformat}

I’m pretty sure that’s no longer the case, mainly because the assingments method is now part of the AssignmentToolUtils class.

I’d say it would be a good idea to re-use that method (maybe via the AssignmentService), make the WS call it directly and avoid outdate/duplicated code.",{},,,,To Do,7/31/2024 5:21
UserProcessor missing placeholder in log.debug ,SAK-50339,67866,Bug,Closed,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,Sam Ottenhoff,557058:48227012-f9a6-40a4-97e6-94c8ef57f33e,Sam Ottenhoff,557058:48227012-f9a6-40a4-97e6-94c8ef57f33e,7/30/2024 11:36,8/2/2024 23:26,8/8/2024 1:36,7/31/2024 11:58,,,,25.0 [Tentative],Quartz Scheduler,,Not seeing info in log.debug,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-07-31T11:58:12.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"30/Jul/24 12:23 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50339 UserProcessor fix log.debug placeholders"", you can see it at https://github.com/sakaiproject/sakai/pull/12768",,Done,7/31/2024 11:58
