Summary,Issue key,Issue id,Issue Type,Status,Project key,Project lead,Project lead id,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Created,Updated,Last Viewed,Resolved,Affects versions,Affects versions,Affects versions,Fix versions,Components,Components,Description,Custom field (Development),Custom field (Email enabled),Comment,,Status Category,Status Category Changed
Add Notifications for Dashboard Tasks Widget,SAK-50037,67562,Feature Request,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,Adrian Fish,557058:5489bdf1-0dcd-4429-8030-f007c405dfd0,Wilma Hodges,557058:89b0bd66-0f67-42a4-b388-c7dbb7ceaa2d,5/1/2024 15:26,5/2/2024 18:26,8/8/2024 1:36,,23,23.1,23.2,,WC Tasks Widget,,"See the umbrella Jira for this issue: [https://sakaiproject.atlassian.net/browse/SAK-50034|https://sakaiproject.atlassian.net/browse/SAK-50034|smart-link]

The Dashboard Tasks Widget should generate notifications for new tasks which are manually created by the user for their personal Tasks or by the instructor for a site Tasks.

Currently, the Dashboard shows Tasks that are automatically added when there is a new assignment, quiz, etc. so we don’t need to duplicate those items. However, if a user adds tasks manually, either within their own Tasks widget as a personal to-do item, or as the instructor adding a Task for the class within a course site, you would want those reminders to also generate Notifications. 

Similar to the Calendar tool, since Tasks are typically time-sensitive and tied to a deadline of some sort, you would want these notifications to be sent on a schedule selected by the user. See example screenshot from Google Calendar below:

!2024-05-01_15-01-29.png|width=359,height=191,alt=""2024-05-01_15-01-29.png""!

 ",{},,,,To Do,5/1/2024 15:26
Add Notifications for Conversations Activity,SAK-50036,67561,Feature Request,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,Adrian Fish,557058:5489bdf1-0dcd-4429-8030-f007c405dfd0,Wilma Hodges,557058:89b0bd66-0f67-42a4-b388-c7dbb7ceaa2d,5/1/2024 15:18,5/2/2024 18:27,8/8/2024 1:36,,23,23.1,23.2,,Conversations,Portal Bullhorns,"See the umbrella Jira for this issue: [https://sakaiproject.atlassian.net/browse/SAK-50034|https://sakaiproject.atlassian.net/browse/SAK-50034|smart-link]

The Conversations tool should generate notifications for new activity, such as:

* When a new topic is created
* When someone posts a new message
* When someone replies to a user’s post",{},,,,To Do,5/1/2024 15:18
Add Notifications for Calendar events,SAK-50035,67560,Feature Request,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,,,Wilma Hodges,557058:89b0bd66-0f67-42a4-b388-c7dbb7ceaa2d,5/1/2024 15:12,5/2/2024 18:27,8/8/2024 1:36,,23,23.1,23.2,,Calendar,Portal Bullhorns,"See the umbrella Jira for this issue: [https://sakaiproject.atlassian.net/browse/SAK-50034|https://sakaiproject.atlassian.net/browse/SAK-50034|smart-link] 

The Calendar tool should generate notifications for new events. 

Ideally, the calendar notifications would happen on a schedule, where users can decide how many and how far in advance they receive notifications, similar to the way you can set this up in Google Calendar (see screenshot below from Google Calendar as an example). Perhaps something like this could be added to the Calendar tool and/or the Home > Preferences > Notifications page. 

!2024-05-01_15-01-29.png|width=359,height=191,alt=""2024-05-01_15-01-29.png""!

Since other site events, such as Assignments or Tests & Quizzes due dates often appear on the course Calendar, having the Calendar tool send event notifications is a great way to notify students about upcoming due dates. While Assignments and Tests & Quizzes tools do send notifications, I believe they only send them when a new item is created/published or graded, but not 10 minutes (or an hour, or some other increment) prior to the due date.",{},,,,To Do,5/1/2024 15:12
Add other Sakai tools to Notifications Service so that the notification behavior is consistent across the system,SAK-50034,67559,Feature Request,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,,,Wilma Hodges,557058:89b0bd66-0f67-42a4-b388-c7dbb7ceaa2d,5/1/2024 14:51,5/2/2024 18:28,8/8/2024 1:36,,23,23.1,23.2,,Portal Bullhorns,,"This is an umbrella Jira to track several other Jiras related to this feature request (one per tool). 

Currently, Notifications in Sakai (formerly “Bullhorns”) are only generated for Announcements, Assignments, Commons, Lessons Comments, Profile (Status and Connection updates or Profile Connection Messages), and Tests & Quizzes. However, there are a lot of other Sakai tools from which users would expect to receive notifications. In order for the Notifications tool to be really useful and widely adopted, it needs to meet user expectations in terms of comprehensive tool coverage. Otherwise, institutions may hesitate to use it, worrying that students could miss items that don’t generate notifications and then claim that they weren’t notified of the new item so they didn’t realize it had been assigned/sent/created.

I have created separate Jiras for the following tools, each of which should be added to the Notifications service so that they generate notification messages when there is new content or activity available.

* Calendar - [https://sakaiproject.atlassian.net/browse/SAK-50035|https://sakaiproject.atlassian.net/browse/SAK-50035|smart-link] 
* Chat - existing Jira [https://sakaiproject.atlassian.net/browse/SAK-42080|https://sakaiproject.atlassian.net/browse/SAK-42080|smart-link] 
* Conversations - [https://sakaiproject.atlassian.net/browse/SAK-50036|https://sakaiproject.atlassian.net/browse/SAK-50036|smart-link]  
* Dashboard Tasks Widget - [https://sakaiproject.atlassian.net/browse/SAK-50037|https://sakaiproject.atlassian.net/browse/SAK-50037|smart-link]  
* Discussions - existing Jira [https://sakaiproject.atlassian.net/browse/SAK-41860|https://sakaiproject.atlassian.net/browse/SAK-41860|smart-link] 
* Drop Box - [https://sakaiproject.atlassian.net/browse/SAK-50038|https://sakaiproject.atlassian.net/browse/SAK-50038|smart-link]  
* Email Archive - [https://sakaiproject.atlassian.net/browse/SAK-50039|https://sakaiproject.atlassian.net/browse/SAK-50039|smart-link] 
* Gradebook - [https://sakaiproject.atlassian.net/browse/SAK-50040|https://sakaiproject.atlassian.net/browse/SAK-50040|smart-link]  
* Lessons new content - [https://sakaiproject.atlassian.net/browse/SAK-50041|https://sakaiproject.atlassian.net/browse/SAK-50041|smart-link] 
* Messages - [https://sakaiproject.atlassian.net/browse/SAK-50042|https://sakaiproject.atlassian.net/browse/SAK-50042|smart-link]  
* Podcasts - [https://sakaiproject.atlassian.net/browse/SAK-50043|https://sakaiproject.atlassian.net/browse/SAK-50043|smart-link] 
* Polls - [https://sakaiproject.atlassian.net/browse/SAK-50044|https://sakaiproject.atlassian.net/browse/SAK-50044|smart-link] 
* PostEm - [https://sakaiproject.atlassian.net/browse/SAK-50045|https://sakaiproject.atlassian.net/browse/SAK-50045|smart-link] 
* Section Info - [https://sakaiproject.atlassian.net/browse/SAK-50046|https://sakaiproject.atlassian.net/browse/SAK-50046|smart-link] 
* Sign Up - [https://sakaiproject.atlassian.net/browse/SAK-50047|https://sakaiproject.atlassian.net/browse/SAK-50047|smart-link] 
* Syllabus - [https://sakaiproject.atlassian.net/browse/SAK-50048|https://sakaiproject.atlassian.net/browse/SAK-50048|smart-link] 
* Wiki - [https://sakaiproject.atlassian.net/browse/SAK-50049|https://sakaiproject.atlassian.net/browse/SAK-50049|smart-link] 



As we go forward, I expect that Notifications will become more and more important to users, since they are closely tied with the PWA mobile development. Also, in addition to being a more modern way of notifying users about course activity (many of whom find email to be somewhat “old school”), there are also tentative plans for UI indicators (i.e. little red circles) next to tool names in the left navigation when there is new content or activity within a given tool. (See mockup below.) This would provide another way to let users know when there is new activity in their courses.

!2024-05-01_17-08-43.png|width=201,height=690,alt=""2024-05-01_17-08-43.png""!",{},,,,To Do,5/1/2024 14:51
"Gradebook: Bonus point items in Dark Mode are unreadable when the ""saved"" color is present",SAK-50033,67558,Bug,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Minor,,,,Christina Schwiebert,70121:edd71bdf-212f-4544-92f7-2fc8fb688af3,5/1/2024 8:06,5/3/2024 11:56,8/8/2024 1:36,,25.0 [Tentative],,,,Gradebook,,"This is only a problem on Trunk. On 23 and older, the text for points that exceeds the item max is light grey, and unreadable against the light yellow background. In Trunk, the text color is dark, so visible against the light background, but when the points are initially entered, the cell background is a dark green  for a minute to indicate that it was saved successfully. During this time, the point value is not readable - black text on a dark green background. See the attached video (no audio)",{},,,,To Do,5/1/2024 8:06
Dashboard-discussion widget: arrow link takes instructor to gradebook instead of discussion for grading,SAK-50032,67557,Bug,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,Adrian Fish,557058:5489bdf1-0dcd-4429-8030-f007c405dfd0,Andrea Schmidt,557058:093e0ced-45f4-4932-853a-c54031e22f52,4/30/2024 19:09,5/2/2024 18:33,8/8/2024 1:36,,22.5,23.2,25.0 [Tentative],,WC Course Dashboard,WC Forums Widget,"When creating a graded discussion, clicking the > for the topic takes the instructor to the gradebook instead of to the topic.

Since the topic is graded within Discussions, the > should take the instructor to that discussion topic.",{},,,,To Do,4/30/2024 19:09
"I can't figure out how to add the site preview image to the pinned site.  I did it in try sakai, but I can't find the instructions",SAK-50031,67556,Bug,Resolved,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Non-Issue,,,Natalie Markward,638e464177acd224b3426ec2,4/30/2024 16:09,5/2/2024 18:33,8/8/2024 1:36,5/2/2024 18:33,23,,,,Course Management,,"

!image-20240430-200847.png|width=224,height=125,alt=""image-20240430-200847.png""!



I did this before I can’t remember how i did it.",{},,"02/May/24 2:12 PM;70121:edd71bdf-212f-4544-92f7-2fc8fb688af3;[~accountid:638e464177acd224b3426ec2] 

That book image looks like it would be the site icon. You can set this by going to Site Info → Edit Site Information. Paste the image URL into the Icon URL field. If you just have the image on your local computer, you can upload it to the site Resources and use that URL. ",,Done,5/2/2024 18:33
Announcements: Highlighted status not always accurate in Edit view,SAK-50030,67555,Bug,Closed,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,Sean Horner,557058:38ecdcf2-1531-4ba3-967f-08694ec3676d,Sean Horner,557058:38ecdcf2-1531-4ba3-967f-08694ec3676d,4/29/2024 19:35,7/29/2024 19:06,8/8/2024 1:36,5/6/2024 10:39,23.2,25.0 [Tentative],,,Announcements,,"In some cases, the ‘Edit’ view for an announcement does not accurately reflect the Highlighted status of an announcement. See the test plan for a particular, repeatable case.","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-05-06T10:39:01.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"02/May/24 12:20 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50030 Announcements: Highlighted status not always accurate in Edit view"", you can see it at https://github.com/sakaiproject/sakai/pull/12565",,Done,5/6/2024 10:39
Grades widget-students: Have the scores in the Grades widget in Dashboard blurred by default,SAK-50029,67554,Improvement,Closed,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,Adrian Fish,557058:5489bdf1-0dcd-4429-8030-f007c405dfd0,Andrea Schmidt,557058:093e0ced-45f4-4932-853a-c54031e22f52,4/29/2024 19:22,5/14/2024 17:55,8/8/2024 1:36,5/13/2024 18:22,22.5,23.2,25.0 [Tentative],,WC Course Dashboard,WC Grades Widget,"Once [https://sakaiproject.atlassian.net/browse/SAK-46652|https://sakaiproject.atlassian.net/browse/SAK-46652|smart-link] is resolved and there is a Grades widget version geared towards students, have the Grades widget be in a collapsed state by default, like it is in the Account Menu:

!image-20240429-231916.png|width=363,height=112,alt=""image-20240429-231916.png""!

This would make sure that a student doesn’t have their grades exposed to students sitting behind or beside them when they enter their home page or the course.","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=2}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":2,""lastUpdated"":""2024-05-10T15:55:11.000-0400"",""stateCount"":2,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":2,""name"":""GitHub""}}}}},""isStale"":true}}",,"06/May/24 6:19 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50029 WC SakaiGrades obfuscate grades on default page load"", you can see it at https://github.com/sakaiproject/sakai/pull/12573",,Done,5/13/2024 18:22
Tasks widget in the account panel should be disabled if tasks are disabled in dashboard,SAK-50028,67553,Bug,Closed,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,Earle Nietzel,557058:d4bf1967-6188-4b29-bf4a-95cf874b4a08,Earle Nietzel,557058:d4bf1967-6188-4b29-bf4a-95cf874b4a08,4/29/2024 14:08,5/8/2024 9:07,8/8/2024 1:36,5/2/2024 19:55,23.2,25.0 [Tentative],,,WC Tasks Widget,WC User Dashboard,In [https://sakaiproject.atlassian.net/browse/SAK-48525|https://sakaiproject.atlassian.net/browse/SAK-48525|smart-link] the tasks widget is hidden by default but it still appears the users account panel. Using the property {{dashboard.tasks.enabled}} the account panel widget should also obey this setting.,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-04-29T17:25:41.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"29/Apr/24 2:10 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50028 WC Tasks disable My Tasks in the account panel"", you can see it at https://github.com/sakaiproject/sakai/pull/12561",,Done,5/2/2024 19:55
Update Bootstrap-Icons 1.11.3,SAK-50027,67552,Bug,Resolved,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,kunaljaykam,5e414059ab90210c8de05bf0,kunaljaykam,5e414059ab90210c8de05bf0,4/29/2024 7:48,5/28/2024 18:10,8/8/2024 1:36,4/30/2024 11:19,,,,,Library,,"[https://blog.getbootstrap.com//2023/09/12/bootstrap-icons-1-11-0/|https://blog.getbootstrap.com//2023/09/12/bootstrap-icons-1-11-0/|smart-link]  100 New Icons and Fixes

!image-20240429-114638.png|width=1920,height=648,alt=""image-20240429-114638.png""!","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-04-30T11:18:57.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"29/Apr/24 7:50 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50027 Update Bootstrap-Icons 1.11.3"", you can see it at https://github.com/sakaiproject/sakai/pull/12559",,Done,4/30/2024 11:19
My Tasks Widget doesn't show student data,SAK-50026,67551,Bug,Closed,SAK,Core Team,6164d8abc7bea400699b1b9e,Blocker,Fixed,Earle Nietzel,557058:d4bf1967-6188-4b29-bf4a-95cf874b4a08,Andrea Schmidt,557058:093e0ced-45f4-4932-853a-c54031e22f52,4/28/2024 10:41,5/14/2024 17:47,8/8/2024 1:36,5/6/2024 18:13,25.0 [Tentative],,,,Web Components,,"The student should see information regarding their own grades, under Account Menu (click user’s profile in upper right), the widgets don’t expand all the time. Not sure why sometimes a section expands properly and other times it does not. It doesn’t matter if there are items to display or not, there is some default text if there are no items.","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-05-06T18:13:32.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"03/May/24 1:18 PM;557058:d4bf1967-6188-4b29-bf4a-95cf874b4a08;Students will see the following in the logs:


{noformat}24-Apr-2024 11:27:00.856 WARN [http-nio-8080-exec-1] o.s.g.i.GradingServiceImpl.getAssignments AUTHORIZATION FAILURE: User 49247cae-88fe-4bf8-9e5c-e84b4a6fb989 in gradebook 7f6ad4f1-67f0-4fd5-88b8-b65f52a5400c attempted to get assignments list{noformat}",,Done,5/6/2024 18:13
Update Commons Codec 1.17.0,SAK-50025,67550,Bug,Closed,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,David Horwitz,557058:e67144fb-5a8e-4eca-b536-d02ecff9f6cc,David Horwitz,557058:e67144fb-5a8e-4eca-b536-d02ecff9f6cc,4/28/2024 0:22,7/25/2024 23:50,8/8/2024 1:36,4/29/2024 4:16,20.5,,,,Master,,"h3. Release 1.17.0 – 2024-04-20

||Type||Changes||By||
|!fix.gif|width=20,height=20,alt=""Fix""!|Wrong output of DoubleMetaphone in 1.16.1. Fixes [CODEC-320|https://issues.apache.org/jira/browse/CODEC-320]. Thanks to Martin Frydl, Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-codec/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|Optimize memory allocation in PhoneticEngine. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-codec/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|BCodec and QCodec encode() methods throw UnsupportedCharsetException instead of EncoderException. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-codec/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|Set Javadoc link to latest Java API LTS version. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-codec/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|Base32 constructor fails-fast with a NullPointerException if the custom alphabet array is null. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-codec/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|Base32 constructor makes a defensive copy of the line separator array. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-codec/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|Base64 constructor makes a defensive copy of the line separator array. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-codec/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|Base64 constructor makes a defensive copy of a custom alphabet array. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-codec/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add override org.apache.commons.codec.language.bm.Rule.PhonemeExpr.size(). Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-codec/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add support for Base64 custom alphabets #266. Thanks to Chris Kocel, Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-codec/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add Base64.Builder (allows custom alphabets). Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-codec/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add Base32.Builder (allows custom alphabets). Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-codec/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add Base64 support for a custom padding byte (like Base32). Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-codec/team-list.html#ggregory]|
|!update.gif|width=20,height=20,alt=""Update""!|Bump org.apache.commons:commons-parent from 66 to 69 #250, #261. Thanks to Dependabot, Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-codec/team-list.html#ggregory]|
|!update.gif|width=20,height=20,alt=""Update""!|Bump commons-io:commons-io from 2.15.1 to 2.16.1 #258, #265. Thanks to Dependabot, Gary Gregory.| |","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-04-29T04:16:11.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"28/Apr/24 12:27 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50025 Update Commons Codec 1.17.0"", you can see it at https://github.com/sakaiproject/sakai/pull/12557",,Done,4/29/2024 4:16
Archive assignment attachments and supplementary items,SAK-50024,67549,Task,Closed,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,Stephen Marquard,557058:d083b1a2-05d0-42f2-a6cc-6f872b5fa30f,Stephen Marquard,557058:d083b1a2-05d0-42f2-a6cc-6f872b5fa30f,4/27/2024 11:09,6/12/2024 18:59,8/8/2024 1:36,4/30/2024 11:13,21.5,22.4,23.1,25.0 [Tentative],Assignments,Site Archive (Admin),"When archiving a site, the archive should include assignment attachments, and supplementary items.","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-04-30T11:13:14.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"27/Apr/24 11:33 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50024 Archive assignment attachments and supplementary items"", you can see it at https://github.com/sakaiproject/sakai/pull/12556",,Done,4/30/2024 11:13
Improve error checking for chat archiving,SAK-50023,67548,Task,Closed,SAK,Core Team,6164d8abc7bea400699b1b9e,Minor,Fixed,,,Stephen Marquard,557058:d083b1a2-05d0-42f2-a6cc-6f872b5fa30f,4/27/2024 7:54,6/9/2024 10:42,8/8/2024 1:36,4/30/2024 11:10,21.2,22.4,23.1,25.0 [Tentative],Chat,Site Archive (Admin),Catch some possible errors when archiving chat. Propagate unhandled errors through a RuntimeException so they’re visible to the archive tool.,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-04-30T11:10:48.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"27/Apr/24 7:56 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50023 Improve chat archive error handling"", you can see it at https://github.com/sakaiproject/sakai/pull/12555",,Done,4/30/2024 11:10
Archive embedded and cross-site files for Lessons content,SAK-50022,67547,Improvement,Closed,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,Stephen Marquard,557058:d083b1a2-05d0-42f2-a6cc-6f872b5fa30f,Stephen Marquard,557058:d083b1a2-05d0-42f2-a6cc-6f872b5fa30f,4/27/2024 5:21,6/17/2024 20:42,8/8/2024 1:36,5/6/2024 10:38,21.2,22.4,23.1,25.0 [Tentative],Lessons,Site Archive (Admin),"Lessons content can include images and media assets inside html content, from within the site’s own Resources or from other sites.

These files need to be added to the site archive for completeness.","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-05-06T10:38:10.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"27/Apr/24 5:36 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50022 Further fixes for Lessons archiving"", you can see it at https://github.com/sakaiproject/sakai/pull/12554",,Done,5/6/2024 10:38
Special handling for attachment archiving for T&Q and user files,SAK-50021,67546,Improvement,Closed,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,Stephen Marquard,557058:d083b1a2-05d0-42f2-a6cc-6f872b5fa30f,Stephen Marquard,557058:d083b1a2-05d0-42f2-a6cc-6f872b5fa30f,4/27/2024 4:58,6/9/2024 11:00,8/8/2024 1:36,5/6/2024 10:37,21.2,22.4,23.1,23.3 [Tentative],Site Archive (Admin),Tests & Quizzes (Samigo),"There are 2 cases where references to attachment files archived in attachment.xml do not match between what’s archived by the tool, and the ids in attachment.xml

# Tests & Quizzes: the QTI archiving code removes spaces from attachment paths for unclear reasons here: [https://github.com/sakaiproject/sakai/blob/master/samigo/samigo-qti/src/java/org/sakaiproject/tool/assessment/qti/asi/Item.java#L519|https://github.com/sakaiproject/sakai/blob/master/samigo/samigo-qti/src/java/org/sakaiproject/tool/assessment/qti/asi/Item.java#L519|smart-link] perhaps spaces in paths may not be supported in that version of the QTI spec
# References to files in user workspaces (e.g. in HTML content) have the form /access/content/user/EID/somefile whereas they are archived with /access/content/user/ID/somefile. These may not be possible to resolve correctly if the user concerned is not part of the site being archived (otherwise it would require a full archive of the entire user base to map EID to ID).

To allow the archives to be internally consistent, the cleanest solution here is to change the paths of the resource ids in attachment.xml to match how they are referenced from tool archive files. This needs to be done in BaseContentService, which seems like it shouldn’t need to be concerned with this detail, but there doesn’t appear to be a cleaner solution without much larger code changes.","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-05-06T10:37:47.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"27/Apr/24 5:04 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50021 Special handling for attachment archiving"", you can see it at https://github.com/sakaiproject/sakai/pull/12553",,Done,5/6/2024 10:37
Archive site realm providers,SAK-50020,67545,Task,Closed,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,Stephen Marquard,557058:d083b1a2-05d0-42f2-a6cc-6f872b5fa30f,Stephen Marquard,557058:d083b1a2-05d0-42f2-a6cc-6f872b5fa30f,4/27/2024 4:01,6/4/2024 19:11,8/8/2024 1:36,4/30/2024 11:04,,,,25.0 [Tentative],Site Archive (Admin),,Add information to site.xml about the realm providers associated with the site.,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-04-30T11:04:03.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"27/Apr/24 4:10 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50020 Archive site realm providers"", you can see it at https://github.com/sakaiproject/sakai/pull/12552",,Done,4/30/2024 11:04
